PostingDate,WhsCode,Sale,Target,Shortfall,LM Sale,MOM Sale,LY Sale,YOY Sale,NOB,TGT NOB,NOB Achv%,Bill Shortfall,LM Bills,MOM Bills,LY Bills,YOY Bills,ABV Bills,ABV Bills TGT,ABV ACHV%,LM ABV,MOM ABV,LY ABV,YOY ABV,NM Target,Margin,LM Margin,LY Margin,MOM Margin,NM ACHV,YOY NM,RGM,RGMTarget,RGM Achv%,LM RGM,MOM RGM,LY RGM,YOY RGM,Damage,TGT Damage,Damage Achv,Damage To Sale,LM Damage,MOM Damage,LY Damage,YOY Damage,Fresh Dump,TGT Fresh Dump,Fresh Dump Achv,Fresh Dump To Sale,LM Fresh Dump,MOM Fresh Dump,LY Fresh Dump,YOY Fresh Dump,Shrinkage,TGT Shrinkage,Shrinkage Achv,Shrinkage To Sale,LM Shrinkage,Shrinkage MOM
'2021-08-04',STR11,181866.92999999996,196966.90999999997,-15099.98000000001,169179.3700000001,7.4994723056362345,0.0,0.0,324.0,436.5,74.22680412371135,-112.5,271.0,19.55719557195572,0.0,0.0,569.341327160493,600.0,94.89022119341551,624.2781180811814,-8.800050703289974,0.0,0.0,6.984264514278059,8.807214885081088,7.542612707447718,0.0,1.2646021776333694,126.10082088208914,0.0,16017.411329999999,13756.689999999999,116.43361397254719,12760.544660000001,25.522944018284544,0.0,0.0,1373.6708,886.3400000000001,154.98237696594984,0.7553164283358169,1627.64,-15.603524120812951,0.0,0.0,121.965,258.6499999999999,47.15445582833947,0.06706276946556476,1114.1907,-89.05348967640818,0.0,0.0,0.0,800.0899999999997,0.0,0.0,12.000000000000028,-100.0
'2021-08-04',STR12,62531.48,102757.34000000001,-40225.86000000001,62023.419999999984,0.8191421885475281,0.0,0.0,177.0,228.66,77.4075045919706,-51.66,150.0,17.999999999999993,0.0,0.0,356.00079096045204,450.0,79.11128688010045,420.9664666666665,-15.432506113997956,0.0,0.0,6.792380962761392,-11.506713146722259,4.367344158061585,0.0,-15.874057304783843,-169.40618039251277,0.0,-7195.31803,6979.669999999997,-103.08965939650447,2708.7762100000004,-365.6298443347596,0.0,0.0,0.0,462.40999999999997,0.0,0.0,0.0,0.0,0.0,0.0,683.9248600000001,139.66,489.70704568237153,1.09372888663438,555.15116,23.196150756489466,0.0,0.0,0.0,421.37999999999994,0.0,0.0,1986.5700000000002,-100.0
'2021-08-05',STR01,291777.2299999999,438538.24000000005,-146761.01000000013,321346.44000000006,-9.201660986193005,303585.45,-3.8895869350787704,282.0,341.85,82.49232119350592,-59.85000000000002,243.0,16.049382716049386,219.0,28.767123287671236,1034.989219858157,1550.0,66.77349805536497,1312.976337448564,-21.172286937828932,1270.0198630136977,-18.50606041686813,11.824977908425955,11.572282141413162,12.23974969817621,15.163666295601445,-0.6674675567630484,97.86303391879714,-3.591384154188283,33765.28427999999,51857.05,65.11223503843738,39331.99992,-14.153146677826012,46034.68455999998,-26.65251298509167,0.0,1973.4099999999999,0.0,0.0,489.3628,-100.0,0.0,0.0,2696.3020199999996,583.9000000000002,461.77462236684346,0.9240961057859108,3142.10477,-14.188029446261918,5931.11426,-54.539705326803144,542.3696799999999,1791.4999999999995,30.27461233603126,0.18588485468862667,653.3510799999997,-16.9864875711233
'2021-08-05',STR11,90186.23999999998,124603.82999999996,-34417.58999999998,86803.22000000002,3.8973439003759935,0.0,0.0,190.0,233.16,81.48910619317206,-43.16,148.0,28.37837837837838,0.0,0.0,474.6644210526316,650.0,73.02529554655871,610.9022972972973,-22.30109083684869,0.0,0.0,9.899759903046327,11.900606899677824,11.897044556642024,0.0,0.003562343035799387,120.21106588671712,0.0,10732.709899999998,12335.480000000007,87.00682827097114,10327.017760000002,3.9284539779855576,0.0,0.0,1921.48,560.7300000000002,342.67472758725216,2.130568920491641,198.7,867.0256668344239,0.0,0.0,1674.45278,158.20000000000005,1058.4404424778759,1.8566610383136057,1227.0013,36.4670746477612,0.0,0.0,0.0,490.90999999999974,0.0,0.0,631.7099999999999,-100.0
'2021-08-05',STR12,29220.219999999994,62924.82,-33704.600000000006,28146.869999999988,3.813390263286842,0.0,0.0,118.0,94.3,125.13255567338281,23.700000000000003,76.0,55.263157894736835,0.0,0.0,249.63101694915255,600.0,41.60516949152542,376.03118421052653,-33.614277902709,0.0,0.0,9.546503271681983,9.252187936983363,10.994466667164055,0.0,-1.7422787301806917,96.91703520836101,0.0,2703.5096699999995,6007.119999999999,45.005088461692125,3094.598239999998,-12.63778169795633,0.0,0.0,0.0,283.15999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.97999999999999,0.0,0.0,1463.11562,-100.0,0.0,0.0,0.0,230.28000000000003,0.0,0.0,2541.4900000000007,-100.0
'2021-08-06',STR01,282812.53,458627.9699999999,-175815.4399999999,324689.6300000001,-12.897578527531072,265740.6400000001,6.424267661882643,272.0,349.59,77.80542921708287,-77.58999999999997,239.0,13.807531380753147,206.0,32.038834951456316,1077.9119852941167,1550.0,69.54270872865268,1350.4710460251042,-20.18251790982277,1165.245291262136,-7.494843070631452,11.414942703996008,13.01608856227127,9.795656510495881,16.632269960665404,3.220432051775388,114.02675335124329,-3.6161813983941347,36811.12937,52352.119999999995,70.31449608917463,31805.480880000003,15.738320413660723,44198.70064000001,-16.714453508875838,813.0,2063.759999999999,39.394115594836634,0.2874695827656575,208.96,289.0696784073507,0.0,0.0,2171.1868999999997,588.5099999999996,368.92948293147117,0.7677124135907272,2414.40898,-10.073773002617003,5646.15922,-61.5457727031651,35.89738000000024,1822.2099999999998,1.9699913840885652,0.012692994896654769,568.2307600000006,-93.68260528521894
'2021-08-06',STR11,91371.73,117708.34,-26336.61,89309.96,2.308555507134913,0.0,0.0,179.0,248.05,72.16287038903447,-69.05000000000001,163.0,9.81595092024541,0.0,0.0,511.15726256983277,650.0,78.63957885689736,547.9138650306742,-6.708463648530527,0.0,0.0,8.717784992975009,11.775498351623638,10.589477590181426,0.0,1.1860207614422116,135.07442958403544,0.0,10759.476560000001,10261.56,104.85225014520212,9457.458199999995,13.76710668411949,0.0,0.0,872.97,529.7299999999998,164.79527306363627,0.9554049157217446,1377.34,-36.619135434968854,0.0,0.0,951.415,164.44000000000003,578.5788129408902,1.0412575092974599,1155.3306,-17.64997828327234,0.0,0.0,139.00599999999946,497.6599999999997,27.931921392115004,0.15213239368456685,665.6920000000001,-79.11857135131571
'2021-08-06',STR12,28269.29,55708.96000000002,-27439.67000000002,23679.299999999992,19.383976722284913,0.0,0.0,117.0,129.6,90.27777777777779,-12.599999999999994,65.0,80.0,0.0,0.0,241.6178632478633,600.0,40.26964387464388,364.29692307692295,-33.67556848761948,0.0,0.0,10.349843185010096,10.786974345659193,12.985916137723668,0.0,-2.198941792064476,104.22355346680231,0.0,3049.4010599999997,5765.790000000003,52.88782734022568,3074.9740399999996,-0.8316486470240192,0.0,0.0,0.0,250.7,0.0,0.0,0.0,0.0,0.0,0.0,540.4142200000001,100.86000000000004,535.8062859409081,1.9116653442658096,518.15724,4.2954104047644215,0.0,0.0,0.0,294.68000000000006,0.0,0.0,0.0,0.0
'2021-08-07',STR01,751716.5100000002,1654000.0,-902283.4899999998,504622.4000000003,48.966139830495,438636.22000000015,71.37584078214061,474.0,827.4,57.28788977519942,-353.4,304.0,55.92105263157894,223.0,112.55605381165918,1582.487468354431,1600.0,98.90546677215194,1662.14335526316,-4.792359615462727,1687.8850224215248,-6.244356260468809,7.335313784764205,8.762363019005662,12.912535347221993,15.144192677476564,-4.150172328216332,119.45450837025548,-6.3818296584709024,65868.12948000002,121326.08999999995,54.2901609043859,65159.54576999999,1.0874595604168036,66427.91431000002,-0.8426951768915281,0.0,7442.950000000003,0.0,0.0,244.8,-100.0,0.0,0.0,4295.02246,2066.28,207.86255783340107,0.5713619965590484,4245.3626,1.1697436633563374,4002.5145,7.308104942530491,0.0,6403.7599999999975,0.0,0.0,2258.9099999999994,-100.0
'2021-08-07',STR11,122133.09000000001,320000.01000000007,-197866.92000000004,84588.83,44.38441813180298,0.0,0.0,225.0,400.4,56.193806193806196,-175.39999999999998,169.0,33.136094674556205,0.0,0.0,549.1674222222216,740.0,74.21181381381373,502.3452662721899,9.320712086627214,0.0,0.0,5.367559207263774,10.261974752296862,8.004427511291976,0.0,2.257547241004886,191.1851244865563,0.0,12533.266860000005,17176.190000000002,72.96884151840428,6770.8515800000005,85.10621170638635,0.0,0.0,749.28,1440.0500000000002,52.03152668310127,0.6134946720827255,892.28,-16.0263594387412,0.0,0.0,2073.4814,376.29999999999984,551.0181769864473,1.697722869371437,1745.6630000000002,18.77901977644023,0.0,0.0,0.0,1160.3899999999994,0.0,0.0,346.57949999999994,-100.0
